Entrada	Xénero complementario	Categoría	Sinónimos	Nota
estabular	  	 t 		
estaca	  	 f 		
estacada	  	 f 		
estacha	  	 f 		
estación	  	 f 		
estacional	  	 a 		
estacionamento	  	 m 		
estacionar	  	 t i pr 		
estacionario	 estacionaria 	 a 		
estacón	  	 m 		
estada1	  	 f 		cast 'andamio'
estadal	  	 m 		
estadio	  	 m 		
estadista	  	 s 		
estado	  	 m 		
estadounidense	  	 a s 		EUA
estafa	  	 f 		
estafador	 estafadora 	 s 		
estafar	  	 t 		
estafermo	  	 m 		
estafeta	  	 f 		
estafilococo	  	 m 		
estafiloma	  	 m 		
estai	  	 m 		
estalactita	  	 f 		
estalagmita	  	 f 		
estaleiro	  	 m 		
estalido	  	 m 		
estalla	  	 f 		
estallar	  	 t 		
estame	  	 m 		
estameña	  	 f 		
estamental	  	 a 		
estamento	  	 m 		
estaminal	  	 a 		
estaminífero	 estaminífera 	 a 		
estaminodio	  	 m 		
estampa	  	 f 		
estampado	 estampada 	 a m 		
estampador	 estampadora 	 a 		
estampar	  	 t 		
estampaxe	  	 f 		
estampinar	  	 t 		
estañadura	  	 f 		
estañar1	  	 t 		de estaño
estañar2	  	 i 		
estancamento	  	 m 		
estancar	  	 t i pr 		
estancia	  	 f 		
estanco	 estanca 	 a m 		
estándar	  	 a m 		
estandarización	  	 f 		
estandarizar	  	 t 		
estandarte	  	 m 		
estánnico	 estánnica 	 a 		
estannífero	 estannífera 	 a 		
estannoso	 estannosa 	 a 		
estaño	  	 m 		
estanque	  	 m 		
estanqueiro	 estanqueira 	 s 		
estanquidade	  	 f 		
estante	  	 m 		
estanza	  	 f 		estrofa
estar	  	 i pr cop 		
estarabouzar	  	 i 		
estarabouzo	  	 m 		
estarrecedor	 estarrecedora 	 a 		
estarrecer	  	 t i 		
estartelar	  	 t 		
estase	  	 f 		
estatal	  	 a 		
estatalismo	  	 m 		
estatalista	  	 a s 		
estatalización	  	 f 		
estatalizar	  	 t 		
estática	  	 f 		
estaticamente	  	 av 		
estático	 estática 	 a 		
estatismo	  	 m 		
estatística	  	 f 		
estatisticamente	  	 av 		
estatístico	 estatística 	 a 		
estator	  	 m 		
estatua	  	 f 		
estatuario	 estatuaria 	 a 		
estatuír	  	 t 		
estatura	  	 f 		
estatutariamente	  	 av 		
estatutario	 estatutaria 	 a 		
estatuto	  	 m 		
estauro-	  	 pref 		gr 'cruz'
este	 f:esta n:isto 	 p 		
estear1	  	 t 		
esteárico	 esteárica 	 a 		
estearina	  	 f 		
esteatita	  	 f 		
esteato-	  	 pref 		gr 'sebo'
esteatoma	  	 m 		
esteatose	  	 f 		
esteganópodos	  	 mpl 		
esteira	  	 f 		
esteiro	  	 m 		
estela1	  	 f 		columna
estelar	  	 a 		
estelífero	 estelífera 	 a 		
estelionato	  	 m 		
estema	  	 m 		
estender	  	 t pr 		
esteno-	  	 pref 		gr 'estreito'
estenografía	  	 f 		
estenográfico	 estenográfica 	 a 		
estenógrafo	 estenógrafa 	 s 		
estenose	  	 f 		
estenotipia	  	 f 		
estenotipista	  	 s 		
estentóreo	 estentórea 	 a 		
esteo1	  	 m 		
estepa1	  	 f 		planta
estepa2	  	 f 		chaira
estepario	 esteparia 	 a 		
éster	  	 m 		
estercadura	  	 f 		
estercorario	 estercoraria 	 a 		
esterculiáceas	  	 fpl 		
estéreo	  	 a m 		< estereofonía
estereo-	  	 pref 		gr 'sólido'
estereóbata	  	 m 		
estereofonía	  	 f 		
estereofónico	 estereofónica 	 a 		
estereografía	  	 f 		
estereograma	  	 m 		
estereometría	  	 f 		
estereoquímica	  	 f 		
estereoscopio	  	 m 		
estereotipado	 estereotipada 	 pt a 		
estereotipar	  	 t 		
estereotipia	  	 f 		
estereotipo	  	 m 		
estereotomía	  	 f 		
estéril	  	 a 		pl estériles
esterilidade	  	 f 		
esterilización	  	 f 		
esterilizador	 esterilizadora 	 a m 		
esterilizante	  	 a 		
esterilizar	  	 t pr 		
esterilmente	  	 av 		
esterlina	  	 af 		
esterno	  	 m 		
esterno-	  	 pref 		gr 'peito'
esternocleidomastoideo	 esternocleidomastoidea 	 a m 		
esternocostal	  	 a 		
esternutatorio	 esternutatoria 	 a 		
estero	  	 m 		unidade de medida
esteroide	  	 m 		
esterol	  	 m 		
esterqueira	  	 f 		
estertor	  	 m 		
estesio-	  	 pref 		gr 'sensibilidade'
estesiómetro	  	 m 		
esteta	  	 s 		
estética	  	 f 		
esteticamente	  	 av 		
esteticismo	  	 m 		
esteticista	  	 a s 		
estético	 estética 	 a 		
esteto-	  	 pref 		gr 'peito'
estetoscopio	  	 m 		
estiaxe	  	 f 		
estiba	  	 f 		
estibador	  	 m 		
estibar	  	 t 		
estibina	  	 f 		
estibio	  	 m 		
estigma	  	 m 		
estigmático	 estigmática 	 a 		
estigmatismo	  	 m 		
estigmatizar	  	 t 		
estila	  	 f 		
estilar1	  	 t i 		
estilar2	  	 pr 		
estilete	  	 m 		
estilista	  	 s 		
estilística	  	 f 		
estilisticamente	  	 av 		
estilístico	 estilística 	 a 		
estilita	  	 s 		
estilización	  	 f 		
estilizar	  	 t 		
estilo	  	 m 		
estilóbata	  	 m 		
estilográfica	  	 f 		
estilográfico	 estilográfica 	 a 		
estilomatóforos	  	 mpl 		
estima	  	 f 		
estimación	  	 f 		
estimanza	  	 f 		
estimar	  	 t 		
estimativa	  	 f 		
estimativo	 estimativa 	 a 		
estimulación	  	 f 		
estimulador	 estimuladora 	 a s 		
estimulante	  	 a m 		
estimular	  	 t 		
estímulo	  	 m 		
estío	  	 m 		
estipendiar	  	 t 		
estipendiario	 estipendiaria 	 a 		
estipendio	  	 m 		
estípite	  	 m 		
estíptico	 estíptica 	 a 		
estípula	  	 f 		
estipulación	  	 f 		
estipulado	 estipulada 	 a 		
estipulante	  	 a 		
estipular	  	 t 		estípula
estiracáceas	  	 fpl 		
estirada	  	 f 		
estirar	  	 t i pr 		
estirón	  	 m 		
estirpe	  	 f 		
estivada	  	 f 		
estivadar	  	 t 		
estival	  	 a 		
estivo	  	 m 		
estocada	  	 f 		
estofa	  	 f 		
estoicamente	  	 av 		
estoicismo	  	 m 		
estoico	 estoica 	 a s 		
estola	  	 f 		
estolda	  	 f 		
estolidez	  	 f 		
estólido	 estólida 	 a 		
estolón	  	 m 		
estoma	  	 m 		
estomacal	  	 a 		
estómago	  	 m 		
estomatite	  	 f 		
estomatólogo	 estomatóloga 	 s 		
estomatoloxía	  	 f 		
estomatolóxico	 estomatolóxica 	 a 		
estomatópodos	  	 mpl 		
estomballar	  	 pr 		
estona	  	 f 		
estonar	  	 t 		
estoniano	 estoniana 	 a s 		Estonia
estopa	  	 f 		
estopar	  	 t 		
estoque	  	 m 		
estoquear	  	 t 		
estoraque	  	 m 		
estorbar	  	 t i 		
estorbo	  	 m 		
estorcer	  	 t 		
estordegar	  	 t 		
estordegón	  	 m 		
estorniño	  	 m 		
estorzón	  	 m 		
estouciñar	  	 i 		
estoupar	  	 t i 		
estoupido	  	 m 		
estoupo	  	 m 		
estourar	  	 i 		
estouro	  	 m 		
estoutro	 estoutra 	 p 		este(p)+outro(p)
estoxadizo	 estoxadiza 	 a 		
estoxar	  	 t 		
estoxo	  	 m 		cast 'estuche'
estrábico	 estrábica 	 a 		
estrabismo	  	 m 		
estrada	  	 f 		
estradense	  	 a s 		A Estrada
estrado	  	 m 		
estradura	  	 f 		
estrafalario	 estrafalaria 	 a 		
estragador	 estragadora 	 a s 		
estragar	  	 t pr 		
estrago	  	 m 		
estragón	  	 m 		
estrallo	  	 m 		
estrambote	  	 m 		
estrambótico	 estrambótica 	 a 		
estramonio	  	 m 		
estrampina	  	 f 		
estrañamente	  	 av 		
estrañamento	  	 m 		
estrañar	  	 t pr 		
estrañeza	  	 f 		
estrangallar	  	 t 		
estrangulación	  	 f 		
estrangulador	 estranguladora 	 s 		
estrangulamento	  	 m 		
estrangular	  	 t pr 		
estraño	 estraña 	 a s 		
estrañón	 estrañona 	 a s 		
estransillado	 estransillada 	 a 		
estranxeiría	  	 f 		
estranxeirismo	  	 m 		
estranxeiro	 estranxeira 	 a s 		
estrar	  	 t 		
estrataxema	  	 m 		
estratego	  	 m 		
estratexia	  	 f 		
estratexicamente	  	 av 		
estratéxico	 estratéxica 	 a 		
estratificación	  	 f 		
estratificar	  	 t 		
estratigrafía	  	 f 		
estratigráfico	 estratigráfica 	 a 		
estratiómidos	  	 mpl 		
estrato	  	 m 		
estrato-	  	 pref 		lat 'estendido'
estratocúmulo	  	 m 		
estratosfera	  	 f 		
estratosférico	 estratosférica 	 a 		
estrea	  	 f 		
estrear	  	 t pr 		
estreira	  	 f 		
estreitamente	  	 av 		
estreitamento	  	 m 		
estreitar	  	 t i 		
estreitecer	  	 t i 		
estreiteza	  	 f 		
estreito	 estreita 	 a m 		
estreitura	  	 f 		
estrela	  	 f 		
estrelado	 estrelada 	 pt a 		
estrelamar	  	 f 		
estrelar	  	 t pr 		
estrelecer	  	 i 		
estremecemento	  	 m 		
estremecer	  	 t i 		
estremeiro	 estremeira 	 a s 		
estremeño	 estremeña 	 a s 		Estremadura
estrenuamente	  	 av 		
estrenuo	 estrenua 	 a 		
estrenxo	  	 m 		
estrépito	  	 m 		
estrepitosamente	  	 av 		
estrepitoso	 estrepitosa 	 a 		
estrepto-	  	 pref 		gr 'retorto'
estreptococo	  	 m 		
estreptomiceto	  	 m 		
estreptomicina	  	 f 		
estrés	  	 m 		
estría	  	 f 		
estriado	 estriada 	 pt a 		
estriar	  	 t 		
estribar	  	 i t 		
estribeira	  	 f 		
estribo	  	 m 		
estribor	  	 m 		
estricnina	  	 f 		
estridencia	  	 f 		
estridente	  	 a 		
estridentemente	  	 av 		
estriga	  	 f 		
estrigar	  	 t 		
estrincar	  	 i 		
estrinque	  	 m 		
estrinxido	 estrinxida 	 pt a 		
estrinximento	  	 m 		
estrinxir	  	 t i pr 		
estritamente	  	 av 		
estrito	 estrita 	 a 		
estríxidos	  	 mpl 		
estro	  	 m 		inspiración
estróbilo	  	 m 		
estrobo	  	 m 		
estroboscopio	  	 m 		
estrofa	  	 f 		
estrofantina	  	 f 		
estrofanto	  	 m 		
estroficamente	  	 av 		
estrófico	 estrófica 	 a 		
estroma	  	 m 		
estronciana	  	 f 		
estroncio	  	 m 		
estrondo	  	 m 		
estrondosamente	  	 av 		
estrondoso	 estrondosa 	 a 		
estropallo	  	 m 		
estróxeno	  	 m 		
estrullar	  	 t pr 		
estrullón	  	 m 		
estrumar	  	 t 		
estrume	  	 m 		
estrutura	  	 f 		
estruturación	  	 f 		
estrutural	  	 a 		
estruturalismo	  	 m 		
estruturalista	  	 a s 		
estruturalmente	  	 av 		
estruturar	  	 t 		
estuario	  	 m 		
estucado	  	 m 		
estucador	  	 m 		
estucar	  	 t 		
estuco	  	 m 		
estudadamente	  	 av 		
estudado	 estudada 	 pt a 		
estudante	  	 s 		
estudantil	  	 a 		
estudantina	  	 f 		
estudar	  	 t i 		
estudio	  	 m 		ingl. studio
estudo	  	 m 		
estudoso	 estudosa 	 a 		
estufa	  	 f 		
estufado	 estufada 	 pt a m 		
estufar	  	 t 		guisar
estulticia	  	 f 		
estulto	 estulta 	 a 		
estupefacción	  	 f 		
estupefaciente	  	 a m 		
estupefacto	 estupefacta 	 a 		
estupendamente	  	 av 		
estupendo	 estupenda 	 a 		
estupidez	  	 f 		
estúpido	 estúpida 	 a 		
estupor	  	 m 		
estuprar	  	 t 		
estupro	  	 m 		
esturión	  	 m 		
estúrnidos	  	 mpl 		
esturrar	  	 t pr 		
esturro	  	 m 		
esturruxar	  	 t pr 		
esvacoar	  	 pr 		
esvaecemento	  	 m 		
esvaecer	  	 t pr 		
esvaemento	  	 m 		
esvaer	  	 t pr 		
esvaradío	 esvaradía 	 a 		
esvaradoiro	  	 m 		
esvarón	  	 m 		
esvástica	  	 f 		
esvelteza	  	 f 		
esvelto	 esvelta 	 a 		
esverdear	  	 t 		
esvirillar	  	 pr 		
eta	  	 m 		letra
etano	  	 m 		
etanol	  	 m 		
etapa	  	 f 		
etarra	  	 s a 		
etcétera	  	 lp 		lat
éter	  	 m 		
etéreo	 etérea 	 a 		
eterificar	  	 t 		
eterismo	  	 m 		
eterización	  	 f 		
eterizar	  	 t 		
eternal	  	 a 		
eternamente	  	 av 		
eternidade	  	 f 		
eternizar	  	 t pr 		
eterno	 eterna 	 a 		
eteromanía	  	 f 		
eterómano	 eterómana 	 a s 		
ética	  	 f 		
eticamente	  	 av 		
ético	 ética 	 a 		
etileno	  	 m 		
etílico	 etílica 	 a 		
etilo	  	 m 		
étimo	  	 m 		
etimólogo	 etimóloga 	 s 		
etimoloxía	  	 f 		
etimoloxicamente	  	 av 		
etimolóxico	 etimolóxica 	 a 		
etimoloxista	  	 s 		
etioloxía	  	 f 		
etiolóxico	 etiolóxica 	 a 		
etíope	  	 a s 		
etiópico	 etiópica 	 a 		
etiqueta	  	 f 		
etiquetar	  	 t 		
etiquetaxe	  	 f 		
etmoidal	  	 a 		
etmoide	  	 m 		
etnia	  	 f 		
étnico	 étnica 	 a 		
etno-	  	 pref 		gr 'pobo'
etnografía	  	 f 		
etnográfico	 etnográfica 	 a 		
etnógrafo	 etnógrafa 	 s 		
etnolingüística	  	 f 		
etnolingüístico	 etnolingüística 	 a 		
etnólogo	 etnóloga 	 s 		
etnoloxía	  	 f 		
etnolóxico	 etnolóxica 	 a 		
etólico	 etólica 	 a 		
etolio	 etolia 	 a s 		
etólogo	 etóloga 	 s 		
etoloxía	  	 f 		
etopea	  	 f 		
etrusco	 etrusca 	 a s 		ant Etruria (It)
eu	  	 p 		
eu-	  	 pref 		gr 'ben'
eucaliptal	  	 m 		
eucalipto	  	 m 		
eucaristía	  	 f 		
eucarístico	 eucarística 	 a 		
euclidiano	 euclidiana 	 a 		
eucoloxio	  	 m 		
eudemonismo	  	 m 		
eudiómetro	  	 m 		
eufemismo	  	 m 		
eufemisticamente	  	 av 		
eufemístico	 eufemística 	 a 		
eufonía	  	 f 		
eufónico	 eufónica 	 a 		
euforbia	  	 f 		
euforbiáceas	  	 fpl 		
euforia	  	 f 		
euforicamente	  	 av 		
eufórico	 eufórica 	 a 		
eufrasia	  	 f 		
eufuísmo	  	 m 		
euglenoidinos	  	 mpl 		
eumicetos	  	 mpl 		
eunuco	  	 m 		
eupatorio	 eupatoria 	 a 		
eupéptico	 eupéptica 	 a 		
eurasiático	 eurasiática 	 a s 		Eurasia
euritmia	  	 f 		
eurítmico	 eurítmica 	 a 		
euro	  	 m 		
euro-	  	 pref 		Europa
eurocomunismo	  	 m 		
europeísmo	  	 m 		
europeísta	  	 s 		
europeización	  	 f 		
europeizar	  	 t pr 		
europeo	 europea 	 a s 		Europa
europio	  	 m 		
euscaldún	 euscalduna 	 a s 		
euscaldunización	  	 f 		
euscaldunizar	  	 t 		
eutanasia	  	 f 		
eutanásico	 eutanásica 	 a 		
eutéctico	 eutéctica 	 a 		
euxénese	  	 f 		
euxenético	 euxenética 	 a 		
euxenismo	  	 m 		
euxenista	  	 s 		
evacuación	  	 f 		
evacuador	 evacuadora 	 a s 		
evacuar	  	 t i 		
evacuativo	 evacuativa 	 a 		
evadir	  	 t pr 		
evanescente	  	 a 		
evanxeliario	  	 m 		
evanxelicamente	  	 av 		
evanxélico	 evanxélica 	 a 		
evanxelista	  	 s 		
evanxelización	  	 f 		
evanxelizador	 evanxelizadora 	 a s 		
evanxelizar	  	 t 		
evanxeo	  	 m 		
evaporación	  	 f 		
evaporar	  	 t pr 		
evaporatorio	 evaporatoria 	 a 		
evasión	  	 f 		
evasiva	  	 f 		
evasivamente	  	 av 		
evasivo	 evasiva 	 a 		
evección	  	 f 		
evento	  	 m 		
eventual	  	 a 		
eventualidade	  	 f 		
eventualmente	  	 av 		
eversión	  	 f 		
evicción	  	 f 		
evidencia	  	 f 		
evidenciar	  	 t 		
evidente	  	 a 		
evidentemente	  	 av 		
evisceración	  	 f 		
eviscerar	  	 t 		
evitación	  	 f 		
evitar	  	 t 		
eviterno	 eviterna 	 a 		
evocación	  	 f 		
evocador	 evocadora 	 a 		
evocar	  	 t 		
evocativo	 evocativa 	 a 		
evocatorio	  	 m 		
evolución	  	 f 		
evolucionar	  	 i 		
evolucionismo	  	 m 		
evolucionista	  	 a s 		
evolutivo	 evolutiva 	 a 		
evulsión	  	 f 		
evulsivo	 evulsiva 	 a 		
exaequo	  	 lav 		lat
exlibris	  	 m 		lat
exprofeso	  	 lav 		lat
exabrupto	  	 m 		[ks]
exacción	  	 f 		[ks]
exacerbación	  	 f 		[ks]
exacerbar	  	 t pr 		[ks]
exactamente	  	 av 		[ks]
exactitude	  	 f 		[ks]
exacto	 exacta 	 a 		[ks]
exactor	  	 m 		[ks]
exaculación	  	 f 		
exacular	  	 t 		
exaltación	  	 f 		[ks]
exaltadamente	  	 av 		[ks]
exaltado	 exaltada 	 pt a 		[ks]
exaltar	  	 t pr 		[ks]
exame	  	 m 		[ks]
examinador	 examinadora 	 a s 		[ks]
examinar	  	 t pr 		[ks]
exánime	  	 a 		[ks]
exantema	  	 m 		[ks]
exantemático	 exantemática 	 a 		[ks]
exantematoso	 exantematosa 	 a 		[ks]
exarca	  	 m 		[ks]
exarcado	  	 m 		[ks]
exasperación	  	 f 		[ks]
exasperante	  	 a 		[ks]
exasperar	  	 t pr 		[ks]
excarceración	  	 f 		
excarcerar	  	 t 		
excardinación	  	 f 		
excedencia	  	 f 		
excedente	  	 a m 		
exceder	  	 t pr 		
excelencia	  	 f 		
excelente	  	 a 		
excelentemente	  	 av 		
excelentísimo	 excelentísima 	 a 		
excelsamente	  	 av 		
excelsitude	  	 f 		
excelso	 excelsa 	 a 		
excentricamente	  	 av 		
excentricidade	  	 f 		
excéntrico	 excéntrica 	 a 		
excepción	  	 f 		
excepcional	  	 a 		
excepcionalidade	  	 f 		
excepcionalmente	  	 av 		
excepto	  	 pp 		
exceptuar	  	 t 		
excesivamente	  	 av 		
excesivo	 excesiva 	 a 		
exceso	  	 m 		
excipiente	  	 m 		
excisión	  	 f 		
excitabilidade	  	 f 		
excitación	  	 f 		
excitador	 excitadora 	 a m 		
excitante	  	 a m 		
excitar	  	 t pr 		
excitativo	 excitativa 	 a 		
exclamación	  	 f 		
exclamar	  	 i 		
exclamativamente	  	 av 		
exclamativo	 exclamativa 	 a 		
exclamatorio	 exclamatoria 	 a 		
exclaustración	  	 f 		
exclaustrar	  	 t pr 		
excluír	  	 t pr 		
exclusión	  	 f 		
exclusiva	  	 f 		
exclusivamente	  	 av 		
exclusive	  	 av 		
exclusividade	  	 f 		
exclusivismo	  	 m 		
exclusivista	  	 a 		
exclusivo	 exclusiva 	 a 		
excomungar	  	 t 		
excomuñón	  	 f 		
excrecencia	  	 f 		
excreción	  	 f 		
excrementicio	 excrementicia 	 a 		
excremento	  	 m 		
excretar	  	 t 		
excretor	 excretora 	 a 		
exculpación	  	 f 		
exculpar	  	 t 		
excursión	  	 f 		
excursionismo	  	 m 		
excursionista	  	 a s 		
excurso	  	 m 		
excusión	  	 f 		
exección	  	 f 		
execración	  	 f 		[ks]
execrando	 execranda 	 a 		[ks]
execrar	  	 t 		[ks]
execratorio	 execratoria 	 a 		[ks]
exector	  	 m 		
execución	  	 f 		
executante	  	 a s 		
executar	  	 t 		
executivamente	  	 av 		
executivo	 executiva 	 a s 		
executor	 executora 	 a s 		
executoria	  	 f 		
executorio	 executoria 	 a 		
exemplar1	  	 a 		
exemplar2	  	 m 		
exemplaridade	  	 f 		
exemplario	  	 m 		
exemplarmente	  	 av 		
exemplificación	  	 f 		
exemplificar	  	 t 		
exemplificativo	 exemplificativa 	 a 		
exemplo	  	 m 		
exención	  	 f 		[ks]
exento	 exenta 	 a 		[ks]
exeo	 exea 	 a s 		
exequátur	  	 m 		[ks]
exequias	  	 fpl 		[ks]
exercer	  	 t i 		
exercicio	  	 m 		
exercitación	  	 f 		
exercitar	  	 t pr 		
exército	  	 m 		
exérese	  	 f 		[ks]
exergo	  	 m 		[ks]
exfoliación	  	 f 		
exfoliar	  	 t pr 		
exhalación	  	 f 		[ks]
exhalar	  	 t 		[ks]
exhaustivamente	  	 av 		[ks]
exhaustivo	 exhaustiva 	 a 		[ks]
exhausto	 exhausta 	 a 		[ks]
exhibición	  	 f 		[ks]
exhibicionismo	  	 m 		[ks]
exhibicionista	  	 a s 		[ks]
exhibir	  	 t pr 		[ks]
exhortación	  	 f 		[ks]
exhortar	  	 t 		[ks]
exhortativo	 exhortativa 	 a 		[ks]
exhorto	  	 m 		[ks]
exhumación	  	 f 		[ks]
exhumar	  	 t 		[ks]
éxida	  	 f 		
exiguamente	  	 av 		[ks]
exiguo	 exigua 	 a 		[ks]
exigüidade	  	 f 		[ks]
exiliado	 exiliada 	 pt a s 		[ks]
exiliar	  	 t pr 		[ks]
exilio	  	 m 		[ks]
eximente	  	 a f 		[ks]
eximio	 eximia 	 a 		[ks]
eximir	  	 t 		[ks]
exipcíaco	 exipcíaca 	 a 		
exipcio	 exipcia 	 a s 		Exipto (Áf)
exiptólogo	 exiptóloga 	 s 		
exiptoloxía	  	 f 		
existencia	  	 f 		[ks]
existencial	  	 a 		[ks]
existencialismo	  	 m 		[ks]
existencialista	  	 a s 		[ks]
existente	  	 a 		[ks]
existir	  	 i 		[ks]
éxito	  	 m 		[ks]
exo-	  	 pref 		[ks] gr 'por fóra'
éxodo	  	 m 		[ks]
exoftalmía	  	 f 		[ks]
exoftálmico	 exoftálmica 	 a 		[ks]
exogamia	  	 f 		[ks]
exógamo	 exógama 	 a 		[ks]
exoneración	  	 f 		[ks]
exonerar	  	 t 		[ks]
exorbitado	 exorbitada 	 a 		[ks]
exorbitante	  	 a 		[ks]
exorcismo	  	 m 		[ks]
exorcista	  	 a s 		[ks]
exorcizar	  	 t 		[ks]
exordio	  	 m 		[ks]
exornación	  	 f 		[ks]
exornar	  	 t 		[ks]
exosmose	  	 f 		[ks]
exotérico	 exotérica 	 a 		[ks]
exotérmico	 exotérmica 	 a 		[ks]
exótico	 exótica 	 a 		[ks]
exotismo	  	 m 		[ks]
exotoxina	  	 f 		[ks]
expandir	  	 t pr 		
expansibilidade	  	 f 		
expansión	  	 f 		
expansionismo	  	 m 		
expansionista	  	 a s 		
expansivo	 expansiva 	 a 		
expatriación	  	 f 		
expatriado	 expatriada 	 pt a s 		
expatriar	  	 t pr 		
expectación	  	 f 		
expectante	  	 a 		
expectativa	  	 f 		
expectoración	  	 f 		
expectorante	  	 a m 		
expectorar	  	 t i 		
expedición	  	 f 		
expedicionario	 expedicionaria 	 a 		
expedidor	 expedidora 	 a s 		
expediente	  	 m 		
expedir	  	 t 		
expeditamente	  	 av 		
expeditivamente	  	 av 		
expeditivo	 expeditiva 	 a 		
expedito	 expedita 	 a 		
expelente	  	 a 		
expeler	  	 t 		
expendedor	 expendedora 	 a s 		
expender	  	 t 		
expensas	  	 fpl 		
experiencia	  	 f 		
experimentación	  	 f 		
experimentado	 experimentada 	 pt a 		
experimentador	 experimentadora 	 a s 		
experimental	  	 a 		
experimentalmente	  	 av 		
experimentar	  	 t 		
experimento	  	 m 		
experto	 experta 	 a s 		
expiación	  	 f 		
expiar	  	 t 		
expiatorio	 expiatoria 	 a 		
expiración	  	 f 		
expirante	  	 a 		
expirar	  	 t i 		
explanación	  	 f 		
explanar	  	 t 		
expletivamente	  	 av 		
expletivo	 expletiva 	 a 		
explicación	  	 f 		
explicar	  	 t pr 		
explicativo	 explicativa 	 a 		
explicitamente	  	 av 		
explicitar	  	 t 		
explícito	 explícita 	 a 		
exploración	  	 f 		
explorador	 exploradora 	 a s 		
explorar	  	 t 		
exploratorio	 exploratoria 	 a 		
explosión	  	 f 		
explosivamente	  	 av 		
explosivo	 explosiva 	 a m 		
explotación	  	 f 		
explotador	 explotadora 	 a s 		
explotar	  	 t 		non estalar
exponencial	  	 a 		
expoñente	  	 s 		
exportación	  	 f 		
exportador	 exportadora 	 a s 		
exportar	  	 t 		
exposición	  	 f 		
expositivo	 expositiva 	 a 		
expósito	 expósita 	 a 		
expositor	 expositora 	 a s 		
exposto	 exposta 	 pt a 		
expresamente	  	 av 		
expresar	  	 t pr 		
expresión	  	 f 		
expresionismo	  	 m 		
expresionista	  	 a s 		
expresividade	  	 f 		
expresivo	 expresiva 	 a 		
expreso	 expresa 	 a m 		
expropiación	  	 f 		
expropiador	 expropiadora 	 a s 		
expropiar	  	 t 		
expugnación	  	 f 		
expugnar	  	 t 		
expulsar	  	 t 		
expulsión	  	 f 		
expulsivo	 expulsiva 	 a 		
expulsor	 expulsora 	 a m 		
expunción	  	 f 		
expunxir	  	 t 		
expurgación	  	 f 		
expurgar	  	 t 		
expurgatorio	 expurgatoria 	 a 		
exquisitamente	  	 av 		
exquisitez	  	 f 		
exquisito	 exquisita 	 a 		
exsangüe	  	 a 		
exsudación	  	 f 		
exsudar	  	 i 		
éxtase	  	 f 		
extasiar	  	 t pr 		
extático	 extática 	 a 		
extemporaneamente	  	 av 		
extemporaneidade	  	 f 		
extemporáneo	 extemporánea 	 a 		
extensamente	  	 av 		
extensión	  	 f 		
extensivamente	  	 av 		
extensivo	 extensiva 	 a 		
extenso	 extensa 	 a 		
extensor	 extensora 	 a 		
extenuación	  	 f 		
extenuante	  	 a 		
extenuar	  	 t 		
exterior	  	 a m 		
exterioridade	  	 f 		
exteriorización	  	 f 		
exteriorizar	  	 t 		
exteriormente	  	 av 		
exterminación	  	 f 		
exterminador	 exterminadora 	 a s 		
exterminar	  	 t 		
exterminio	  	 m 		
externado	  	 m 		
externamente	  	 av 		
externo	 externa 	 a s 		
extinción	  	 f 		
extinguir	  	 t pr 		
extintivo	 extintiva 	 a 		
extinto	 extinta 	 a s 		
extintor	 extintora 	 a m 		
extirpación	  	 f 		
extirpador	  	 m 		
extirpar	  	 t 		
extorsión	  	 f 		
extorsionar	  	 t 		
extra	  	 a s 		como subst. ten plural
extramuros	  	 lav 		lat
extra-	  	 pref 		lat 'fóra' 'moi'
extracción	  	 f 		
extractar	  	 t 		
extractivo	 extractiva 	 a 		
extracto	  	 m 		
extractor	 extractora 	 a s 		
extradición	  	 f 		
extraditar	  	 t 		
extradorso	  	 m 		
extraer	  	 t 		
extrafino	 extrafina 	 a 		
extramundar	  	 t 		
extraneidade	  	 f 		
extraordinariamente	  	 av 		
extraordinario	 extraordinaria 	 a 		
extrapolación	  	 f 		
extrapolar	  	 t 		
extrasensorial	  	 a 		
extraterrestre	  	 a s 		
extraterritorial	  	 a 		
extraterritorialidade	  	 f 		
extrauterino	 extrauterina 	 a 		
extravagancia	  	 f 		
extravagante	  	 a 		
extravasación	  	 f 		
extravasar	  	 pr 		
extraversión	  	 f 		
extravertido	 extravertida 	 a 		
extraviar	  	 t pr 		
extravío	  	 m 		
extraxudicial	  	 a 		
extraxudicialmente	  	 av 		
extremadamente	  	 av 		
extremado	 extremada 	 pt a 		
extremar	  	 t pr 		
extremidade	  	 f 		
extremismo	  	 m 		
extremista	  	 a s 		
extremo	 extrema 	 a m 		
extremoso	 extremosa 	 a 		
extrinsecamente	  	 av 		
extrínseco	 extrínseca 	 a 		
extrorso	 extrorsa 	 a 		
exuberancia	  	 f 		[ks]
exuberante	  	 a 		[ks]
exulceración	  	 f 		[ks]
exulcerar	  	 t 		[ks]
exultación	  	 f 		[ks]
exultante	  	 a 		[ks]
exultar	  	 i 		[ks]
exutorio	  	 m 		[ks]
exvoto	  	 m 		
f	  	 m 		letra
fa	  	 m 		 musical
faba	  	 f 		
fabada	  	 f 		
fabal	  	 m 		
fabeira	  	 f 		
faboco	  	 m 		
fábrica	  	 f 		
fabricación	  	 f 		
fabricador	 fabricadora 	 a s 		
fabricante	  	 a s 		
fabricar	  	 t 		
fabril	  	 a 		
